노랑통닭      02-913-7273
네네치킨      02-943-9592
교촌치킨      02-909-3311
페리카나      02-912-1990
BBQ      02-913-4235
오븐마루      02-912-9299
맛닭꼬      02-915-5592
굽네치킨      02-919-9294
BHC      02-986-9282
호식이두마리   02-911-7505
피자나라치킨공주   02-915-8292
꿀삐닭강정   02-941-2158
60계치킨      02-913-5379
놈호프      02-913-4428
반올림피자샵   02-909-3335
파파존스      02-3291-8007
피자헛      02-905-3311
미스터피자   02-909-4644
도미노피자   02-916-3082
피자스쿨      02-919-0066
피자에땅      02-909-8776
청년피자      02-929-9982
맛짱
보네르닭강정
